created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2023-12-05T23:10:39+00:00,148,22.00000,40.00000,22.60000,39.00000,22.50000,43.00000,,,,
2023-12-05T23:10:54+00:00,149,21.90000,40.00000,22.60000,39.00000,22.50000,43.00000,,,,
2023-12-05T23:11:10+00:00,150,21.90000,41.00000,22.60000,40.00000,22.40000,45.00000,,,,
2023-12-05T23:11:25+00:00,151,21.90000,41.00000,22.60000,41.00000,22.40000,45.00000,,,,
2023-12-05T23:11:41+00:00,152,21.90000,40.00000,22.60000,40.00000,22.40000,44.00000,,,,
2023-12-05T23:11:56+00:00,153,21.90000,40.00000,22.50000,39.00000,22.40000,43.00000,,,,
2023-12-05T23:12:11+00:00,154,21.80000,40.00000,22.50000,40.00000,22.30000,44.00000,,,,
2023-12-05T23:12:27+00:00,155,21.80000,40.00000,22.50000,40.00000,22.30000,46.00000,,,,
2023-12-05T23:12:43+00:00,156,21.70000,40.00000,22.40000,40.00000,22.30000,46.00000,,,,
2023-12-05T23:12:58+00:00,157,21.70000,40.00000,22.50000,40.00000,22.30000,46.00000,,,,
2023-12-05T23:13:14+00:00,158,21.70000,42.00000,22.40000,41.00000,22.30000,46.00000,,,,
2023-12-05T23:13:29+00:00,159,21.70000,42.00000,22.40000,42.00000,22.20000,46.00000,,,,
2023-12-05T23:13:44+00:00,160,21.70000,41.00000,22.40000,41.00000,22.20000,45.00000,,,,
2023-12-05T23:14:00+00:00,161,21.70000,41.00000,22.30000,40.00000,22.20000,45.00000,,,,
2023-12-05T23:14:15+00:00,162,21.60000,41.00000,22.30000,40.00000,22.20000,44.00000,,,,
2023-12-05T23:14:30+00:00,163,21.70000,41.00000,22.30000,40.00000,22.10000,45.00000,,,,
2023-12-05T23:14:46+00:00,164,21.60000,41.00000,22.30000,40.00000,22.10000,45.00000,,,,
2023-12-05T23:15:01+00:00,165,21.60000,41.00000,22.30000,41.00000,22.10000,45.00000,,,,
2023-12-05T23:15:17+00:00,166,21.60000,40.00000,22.30000,40.00000,22.00000,45.00000,,,,
2023-12-05T23:15:32+00:00,167,21.60000,41.00000,22.30000,40.00000,22.00000,44.00000,,,,
2023-12-05T23:15:47+00:00,168,21.50000,41.00000,22.20000,41.00000,22.00000,46.00000,,,,
2023-12-05T23:16:03+00:00,169,21.50000,41.00000,22.20000,41.00000,22.00000,46.00000,,,,
2023-12-05T23:16:18+00:00,170,21.50000,41.00000,22.20000,41.00000,22.00000,46.00000,,,,
2023-12-05T23:16:34+00:00,171,21.50000,42.00000,22.20000,41.00000,22.00000,45.00000,,,,
2023-12-05T23:16:49+00:00,172,21.50000,41.00000,22.20000,41.00000,22.00000,44.00000,,,,
2023-12-05T23:17:04+00:00,173,21.50000,42.00000,22.20000,41.00000,22.00000,46.00000,,,,
2023-12-05T23:17:20+00:00,174,21.50000,42.00000,22.20000,42.00000,22.00000,47.00000,,,,
2023-12-05T23:17:35+00:00,175,21.50000,41.00000,22.20000,41.00000,22.00000,47.00000,,,,
2023-12-05T23:17:51+00:00,176,21.50000,40.00000,22.10000,41.00000,21.90000,44.00000,,,,
2023-12-05T23:18:06+00:00,177,21.50000,41.00000,22.10000,40.00000,21.90000,43.00000,,,,
2023-12-05T23:18:21+00:00,178,21.50000,41.00000,22.10000,40.00000,21.90000,43.00000,,,,
2023-12-05T23:18:37+00:00,179,21.50000,41.00000,22.10000,40.00000,21.90000,43.00000,,,,
2023-12-05T23:18:52+00:00,180,21.40000,40.00000,22.10000,40.00000,21.90000,43.00000,,,,
2023-12-05T23:19:07+00:00,181,21.40000,42.00000,22.10000,41.00000,21.90000,44.00000,,,,
2023-12-05T23:19:23+00:00,182,21.40000,41.00000,22.10000,42.00000,21.90000,45.00000,,,,
2023-12-05T23:19:38+00:00,183,21.40000,41.00000,22.10000,42.00000,21.80000,45.00000,,,,
2023-12-05T23:19:54+00:00,184,21.40000,42.00000,22.10000,42.00000,21.80000,46.00000,,,,
2023-12-05T23:20:09+00:00,185,21.40000,41.00000,22.10000,41.00000,21.80000,45.00000,,,,
2023-12-05T23:20:25+00:00,186,21.40000,43.00000,22.10000,41.00000,21.80000,44.00000,,,,
2023-12-05T23:20:40+00:00,187,21.40000,42.00000,22.10000,41.00000,21.80000,44.00000,,,,
2023-12-05T23:20:55+00:00,188,21.40000,41.00000,22.10000,41.00000,21.80000,44.00000,,,,
2023-12-05T23:21:11+00:00,189,21.40000,41.00000,22.10000,41.00000,21.80000,43.00000,,,,
2023-12-05T23:21:26+00:00,190,21.40000,42.00000,22.10000,41.00000,21.80000,44.00000,,,,
